booking_id,rating_score
87114b39712e6da79b0a377eb73fc7af,4
81e283fa7e4f11123a3fb894f18e6bfb,5
6530bb5ed4a7648915306a63d374c9e4,5
5f95d01e79bd1349cc208361f099d6f1,4
d871cd5c22b83b5ea8f6e0e2eaf8e099,4
e4afdf94846eb73642b4e3e75c3d7bd0,3
d59fd5a0cc1faa07c34e390dacf04c5a,2
1e08b3011021e7c7de592ddc81eff158,5
2414a13d09cc1f2b437b914b28e70a75,3
36919411fe08f336fefa44ae168dfba2,5
a4f2f54c294a30224a59484cec4f65c7,5
e2ff9e3a186ad1e1ffb9b1d9c102ca73,5
0192a933fcaab6fbad30ce9a24111d85,1
f4a9480ed70c154da3d954acf73e2cb1,5
e7dbeb4bfbb50bbcfd677c865b89aa97,5
5a9e5b3a692971f37015137e7875cdce,4
08df3cc108b3264558771605c6e029f7,5
71d0b8ce510a94d9111d97371d3af326,5
d2d7f2f36b05d234983bd7a0e2e6ee1e,5
4c9fe2e3486e5e04c6649097aad1dcbe,2
1cb962cc3f412b04de4fed7ba6456e78,5
835c3a4e720b6a41ab44a9994228432b,4
78a493db2a5122ecab1f9562b424b059,5
ed7da9471988265a0104b14861b02076,5
23061493b16b68a130bcffd8e17cc853,5
f690ca21bdc005df9b623673c74d483b,5
69d7711ca44aa9cac602a84226f5c736,3
6a58251926b6cbfdb540c046155101b3,4
72775ccf2a910bf23490603d76b730c9,5
1a197e649fd5138e1204932638fbca8d,5
8cd6daa34087200625936782087b0d4f,5
70850cbba23533b9a9d3434a9b324f42,4
188949da3d6ccc3884a3ba7fa5266d62,5
13ddabab4ed77d79ee9f6b3dca2e199b,5
8fe76f2f253b8291e17b538388497d2f,1
1adb4e4832c988d6b631b65f8772295e,5
9c0b0d5d46f8afc476dc4ca7671366df,4
54124d3e3d8338c573a9c5230feb8ce9,5
418f368f8079ae152bc178bc66a34e6d,3
5ce482f9ec1bd1014c35b2e79428198e,5
5598871cfe6f19976d4491f193fc5207,5
efd6213299342b09f097f17b296b73eb,5
f7bc92e68ec13f05c45a9a75c64cb5e9,5
804f97bcf7644f603c5bcf7784bf6861,4
a24afdc6e26076bfaa7539cb5abb6c1e,5
b07667e425975a219b4fc3829cd3b6a2,5
7beef7e8bf09740d8a35c1a11cd01ac6,3
8054cb8e93d5aa44857779b4248907ae,5
cbf6eeb3bb9cd7dba6dc1c5e82a2714e,1
8d38d441791b735e4bd4a7cf24570106,5
d321053348a5e482ca7e6b2e3b1cc044,2
74fac5dd063f36fefa602e19d2aa61b3,3
645673b538e803ca75a29b6828a705e0,5
26f8a14a9527b41b9dc50ca1bcc676e7,5
67d7a5a75a3ba881d75e402b4039fffc,5
41f392fb6fe7ceef69b65bc4e94aef28,5
02aad708cea549501386b021c6831776,5
0d96e4c3e6b8c1504aa8dc9218ec94cd,5
334bc32cb77559a65c5f17116045c780,1
8f78501396d1a2912d74ff394dd79041,5
087ea5036d6b89b9dbbcaff5892a4def,5
45a10524549102e010f2bd9d3cdaf76a,1
4a4dad2cddb8feb64aaebcb12dc16378,4
9bab4127b8692f52a73df428493e8782,1
71d40f0b32fb471cb07ad239e7ec2ee8,4
ff84327d7d7030053b80fcecd2457140,4
